voteId;issueArea;petitionerState;respondentState;jurisdiction;caseOriginState;caseSourceState;certReason;lcDisposition;decisionDirection
01;1.0;;;1.0;35.0;;4.0;3.0;1.0
02;1.0;;;1.0;35.0;;4.0;3.0;1.0
03;1.0;;;1.0;35.0;;4.0;3.0;1.0
04;1.0;;;1.0;35.0;;4.0;3.0;1.0
05;1.0;;;1.0;35.0;;4.0;3.0;1.0
06;1.0;;;1.0;35.0;;4.0;3.0;1.0
07;1.0;;;1.0;35.0;;4.0;3.0;1.0
08;1.0;;;1.0;35.0;;4.0;3.0;1.0
09;1.0;;;1.0;35.0;;4.0;3.0;1.0
01;1.0;;;1.0;35.0;;4.0;2.0;2.0
02;1.0;;;1.0;35.0;;4.0;2.0;2.0
03;1.0;;;1.0;35.0;;4.0;2.0;2.0
04;1.0;;;1.0;35.0;;4.0;2.0;2.0
05;1.0;;;1.0;35.0;;4.0;2.0;2.0
06;1.0;;;1.0;35.0;;4.0;2.0;2.0
07;1.0;;;1.0;35.0;;4.0;2.0;2.0
08;1.0;;;1.0;35.0;;4.0;2.0;2.0
09;1.0;;;1.0;35.0;;4.0;2.0;2.0
01;8.0;;;1.0;;;10.0;3.0;2.0
02;8.0;;;1.0;;;10.0;3.0;2.0
03;8.0;;;1.0;;;10.0;3.0;2.0
04;8.0;;;1.0;;;10.0;3.0;2.0
05;8.0;;;1.0;;;10.0;3.0;2.0
06;8.0;;;1.0;;;10.0;3.0;2.0
07;8.0;;;1.0;;;10.0;3.0;2.0
08;8.0;;;1.0;;;10.0;3.0;2.0
09;8.0;;;1.0;;;10.0;3.0;2.0
01;4.0;;;1.0;30.0;;10.0;2.0;2.0
02;4.0;;;1.0;30.0;;10.0;2.0;2.0
03;4.0;;;1.0;30.0;;10.0;2.0;2.0
04;4.0;;;1.0;30.0;;10.0;2.0;2.0
05;4.0;;;1.0;30.0;;10.0;2.0;2.0
06;4.0;;;1.0;30.0;;10.0;2.0;2.0
07;4.0;;;1.0;30.0;;10.0;2.0;2.0
08;4.0;;;1.0;30.0;;10.0;2.0;2.0
09;4.0;;;1.0;30.0;;10.0;2.0;2.0
01;8.0;;18.0;2.0;18.0;18.0;1.0;3.0;1.0
02;8.0;;18.0;2.0;18.0;18.0;1.0;3.0;1.0
03;8.0;;18.0;2.0;18.0;18.0;1.0;3.0;1.0
04;8.0;;18.0;2.0;18.0;18.0;1.0;3.0;1.0
05;8.0;;18.0;2.0;18.0;18.0;1.0;3.0;1.0
06;8.0;;18.0;2.0;18.0;18.0;1.0;3.0;1.0
07;8.0;;18.0;2.0;18.0;18.0;1.0;3.0;1.0
08;8.0;;18.0;2.0;18.0;18.0;1.0;3.0;1.0
09;8.0;;18.0;2.0;18.0;18.0;1.0;3.0;1.0
01;8.0;;;1.0;17.0;;10.0;3.0;2.0
02;8.0;;;1.0;17.0;;10.0;3.0;2.0
03;8.0;;;1.0;17.0;;10.0;3.0;2.0
04;8.0;;;1.0;17.0;;10.0;3.0;2.0
05;8.0;;;1.0;17.0;;10.0;3.0;2.0
06;8.0;;;1.0;17.0;;10.0;3.0;2.0
07;8.0;;;1.0;17.0;;10.0;3.0;2.0
08;8.0;;;1.0;17.0;;10.0;3.0;2.0
09;8.0;;;1.0;17.0;;10.0;3.0;2.0
01;12.0;;;1.0;45.0;;10.0;2.0;2.0
02;12.0;;;1.0;45.0;;10.0;2.0;2.0
03;12.0;;;1.0;45.0;;10.0;2.0;2.0
04;12.0;;;1.0;45.0;;10.0;2.0;2.0
05;12.0;;;1.0;45.0;;10.0;2.0;2.0
06;12.0;;;1.0;45.0;;10.0;2.0;2.0
07;12.0;;;1.0;45.0;;10.0;2.0;2.0
08;12.0;;;1.0;45.0;;10.0;2.0;2.0
09;12.0;;;1.0;45.0;;10.0;2.0;2.0
01;3.0;;;1.0;35.0;;2.0;4.0;1.0
02;3.0;;;1.0;35.0;;2.0;4.0;1.0
03;3.0;;;1.0;35.0;;2.0;4.0;1.0
04;3.0;;;1.0;35.0;;2.0;4.0;1.0
05;3.0;;;1.0;35.0;;2.0;4.0;1.0
06;3.0;;;1.0;35.0;;2.0;4.0;1.0
07;3.0;;;1.0;35.0;;2.0;4.0;1.0
08;3.0;;;1.0;35.0;;2.0;4.0;1.0
09;3.0;;;1.0;35.0;;2.0;4.0;1.0
01;3.0;;;1.0;35.0;;2.0;4.0;1.0
02;3.0;;;1.0;35.0;;2.0;4.0;1.0
03;3.0;;;1.0;35.0;;2.0;4.0;1.0
04;3.0;;;1.0;35.0;;2.0;4.0;1.0
05;3.0;;;1.0;35.0;;2.0;4.0;1.0
06;3.0;;;1.0;35.0;;2.0;4.0;1.0
07;3.0;;;1.0;35.0;;2.0;4.0;1.0
08;3.0;;;1.0;35.0;;2.0;4.0;1.0
09;3.0;;;1.0;35.0;;2.0;4.0;1.0
01;7.0;;;1.0;;;3.0;8.0;2.0
02;7.0;;;1.0;;;3.0;8.0;2.0
03;7.0;;;1.0;;;3.0;8.0;2.0
04;7.0;;;1.0;;;3.0;8.0;2.0
05;7.0;;;1.0;;;3.0;8.0;2.0
06;7.0;;;1.0;;;3.0;8.0;2.0
07;7.0;;;1.0;;;3.0;8.0;2.0
08;7.0;;;1.0;;;3.0;8.0;2.0
09;7.0;;;1.0;;;3.0;8.0;2.0
01;3.0;;;1.0;49.0;;10.0;2.0;2.0
02;3.0;;;1.0;49.0;;10.0;2.0;2.0
03;3.0;;;1.0;49.0;;10.0;2.0;2.0
04;3.0;;;1.0;49.0;;10.0;2.0;2.0
05;3.0;;;1.0;49.0;;10.0;2.0;2.0
06;3.0;;;1.0;49.0;;10.0;2.0;2.0
07;3.0;;;1.0;49.0;;10.0;2.0;2.0
08;3.0;;;1.0;49.0;;10.0;2.0;2.0
09;3.0;;;1.0;49.0;;10.0;2.0;2.0
01;12.0;17.0;;1.0;17.0;17.0;11.0;3.0;2.0
02;12.0;17.0;;1.0;17.0;17.0;11.0;3.0;2.0
03;12.0;17.0;;1.0;17.0;17.0;11.0;3.0;2.0
04;12.0;17.0;;1.0;17.0;17.0;11.0;3.0;2.0
05;12.0;17.0;;1.0;17.0;17.0;11.0;3.0;2.0
06;12.0;17.0;;1.0;17.0;17.0;11.0;3.0;2.0
07;12.0;17.0;;1.0;17.0;17.0;11.0;3.0;2.0
08;12.0;17.0;;1.0;17.0;17.0;11.0;3.0;2.0
09;12.0;17.0;;1.0;17.0;17.0;11.0;3.0;2.0
01;1.0;;;1.0;27.0;;4.0;3.0;1.0
02;1.0;;;1.0;27.0;;4.0;3.0;1.0
03;1.0;;;1.0;27.0;;4.0;3.0;1.0
04;1.0;;;1.0;27.0;;4.0;3.0;1.0
05;1.0;;;1.0;27.0;;4.0;3.0;1.0
06;1.0;;;1.0;27.0;;4.0;3.0;1.0
07;1.0;;;1.0;27.0;;4.0;3.0;1.0
08;1.0;;;1.0;27.0;;4.0;3.0;1.0
09;1.0;;;1.0;27.0;;4.0;3.0;1.0
01;8.0;;;1.0;17.0;;5.0;2.0;2.0
02;8.0;;;1.0;17.0;;5.0;2.0;2.0
03;8.0;;;1.0;17.0;;5.0;2.0;2.0
04;8.0;;;1.0;17.0;;5.0;2.0;2.0
05;8.0;;;1.0;17.0;;5.0;2.0;2.0
06;8.0;;;1.0;17.0;;5.0;2.0;2.0
07;8.0;;;1.0;17.0;;5.0;2.0;2.0
08;8.0;;;1.0;17.0;;5.0;2.0;2.0
09;8.0;;;1.0;17.0;;5.0;2.0;2.0
01;8.0;;;6.0;45.0;45.0;5.0;2.0;2.0
02;8.0;;;6.0;45.0;45.0;5.0;2.0;2.0
03;8.0;;;6.0;45.0;45.0;5.0;2.0;2.0
04;8.0;;;6.0;45.0;45.0;5.0;2.0;2.0
05;8.0;;;6.0;45.0;45.0;5.0;2.0;2.0
06;8.0;;;6.0;45.0;45.0;5.0;2.0;2.0
07;8.0;;;6.0;45.0;45.0;5.0;2.0;2.0
08;8.0;;;6.0;45.0;45.0;5.0;2.0;2.0
09;8.0;;;6.0;45.0;45.0;5.0;2.0;2.0
01;8.0;41.0;41.0;2.0;41.0;41.0;1.0;2.0;2.0
02;8.0;41.0;41.0;2.0;41.0;41.0;1.0;2.0;2.0
03;8.0;41.0;41.0;2.0;41.0;41.0;1.0;2.0;2.0
04;8.0;41.0;41.0;2.0;41.0;41.0;1.0;2.0;2.0
05;8.0;41.0;41.0;2.0;41.0;41.0;1.0;2.0;2.0
06;8.0;41.0;41.0;2.0;41.0;41.0;1.0;2.0;2.0
07;8.0;41.0;41.0;2.0;41.0;41.0;1.0;2.0;2.0
08;8.0;41.0;41.0;2.0;41.0;41.0;1.0;2.0;2.0
09;8.0;41.0;41.0;2.0;41.0;41.0;1.0;2.0;2.0
01;8.0;;;2.0;9.0;9.0;1.0;8.0;1.0
02;8.0;;;2.0;9.0;9.0;1.0;8.0;1.0
03;8.0;;;2.0;9.0;9.0;1.0;8.0;1.0
04;8.0;;;2.0;9.0;9.0;1.0;8.0;1.0
05;8.0;;;2.0;9.0;9.0;1.0;8.0;1.0
06;8.0;;;2.0;9.0;9.0;1.0;8.0;1.0
07;8.0;;;2.0;9.0;9.0;1.0;8.0;1.0
08;8.0;;;2.0;9.0;9.0;1.0;8.0;1.0
09;8.0;;;2.0;9.0;9.0;1.0;8.0;1.0
01;8.0;;;1.0;51.0;;10.0;3.0;2.0
02;8.0;;;1.0;51.0;;10.0;3.0;2.0
03;8.0;;;1.0;51.0;;10.0;3.0;2.0
04;8.0;;;1.0;51.0;;10.0;3.0;2.0
05;8.0;;;1.0;51.0;;10.0;3.0;2.0
06;8.0;;;1.0;51.0;;10.0;3.0;2.0
07;8.0;;;1.0;51.0;;10.0;3.0;2.0
08;8.0;;;1.0;51.0;;10.0;3.0;2.0
09;8.0;;;1.0;51.0;;10.0;3.0;2.0
01;8.0;;;1.0;10.0;;12.0;3.0;2.0
02;8.0;;;1.0;10.0;;12.0;3.0;2.0
03;8.0;;;1.0;10.0;;12.0;3.0;2.0
04;8.0;;;1.0;10.0;;12.0;3.0;2.0
05;8.0;;;1.0;10.0;;12.0;3.0;2.0
06;8.0;;;1.0;10.0;;12.0;3.0;2.0
07;8.0;;;1.0;10.0;;12.0;3.0;2.0
08;8.0;;;1.0;10.0;;12.0;3.0;2.0
09;8.0;;;1.0;10.0;;12.0;3.0;2.0
01;8.0;;;1.0;26.0;;12.0;3.0;2.0
02;8.0;;;1.0;26.0;;12.0;3.0;2.0
03;8.0;;;1.0;26.0;;12.0;3.0;2.0
04;8.0;;;1.0;26.0;;12.0;3.0;2.0
05;8.0;;;1.0;26.0;;12.0;3.0;2.0
06;8.0;;;1.0;26.0;;12.0;3.0;2.0
07;8.0;;;1.0;26.0;;12.0;3.0;2.0
08;8.0;;;1.0;26.0;;12.0;3.0;2.0
09;8.0;;;1.0;26.0;;12.0;3.0;2.0
01;1.0;;22.0;1.0;22.0;22.0;11.0;9.0;1.0
02;1.0;;22.0;1.0;22.0;22.0;11.0;9.0;1.0
03;1.0;;22.0;1.0;22.0;22.0;11.0;9.0;1.0
04;1.0;;22.0;1.0;22.0;22.0;11.0;9.0;1.0
05;1.0;;22.0;1.0;22.0;22.0;11.0;9.0;1.0
06;1.0;;22.0;1.0;22.0;22.0;11.0;9.0;1.0
07;1.0;;22.0;1.0;22.0;22.0;11.0;9.0;1.0
08;1.0;;22.0;1.0;22.0;22.0;11.0;9.0;1.0
09;1.0;;22.0;1.0;22.0;22.0;11.0;9.0;1.0
01;9.0;;;1.0;21.0;;10.0;2.0;1.0
02;9.0;;;1.0;21.0;;10.0;2.0;1.0
03;9.0;;;1.0;21.0;;10.0;2.0;1.0
04;9.0;;;1.0;21.0;;10.0;2.0;1.0
05;9.0;;;1.0;21.0;;10.0;2.0;1.0
06;9.0;;;1.0;21.0;;10.0;2.0;1.0
07;9.0;;;1.0;21.0;;10.0;2.0;1.0
08;9.0;;;1.0;21.0;;10.0;2.0;1.0
09;9.0;;;1.0;21.0;;10.0;2.0;1.0
01;5.0;;;1.0;45.0;;3.0;3.0;1.0
02;5.0;;;1.0;45.0;;3.0;3.0;1.0
03;5.0;;;1.0;45.0;;3.0;3.0;1.0
04;5.0;;;1.0;45.0;;3.0;3.0;1.0
05;5.0;;;1.0;45.0;;3.0;3.0;1.0
06;5.0;;;1.0;45.0;;3.0;3.0;1.0
